Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
631-1436-1-ND,FOX ELECTRONICS (VA),F535L-10,,1,0,0,10 Weeks,OSC XO 10.000MHZ HCMOS SMD,,RoHS Compliant,Lead free,Unaffected Jan-2017
93LC46BT-I/OTCT-ND,MICROCHIP TECHNOLOGY (VA),93LC46BT-I/OT,,1,0,0,17 Weeks,IC EEPROM 1KBIT 2MHZ SOT23-6,,RoHS Compliant,Lead free,Unaffected Jan-2017
ADP2108AUJZ-1.8-R7CT-ND,ANALOG DEVICES INC (VA),ADP2108AUJZ-1.8-R7,,1,0,0,11 Weeks,IC REG BCK 1.8V 0.6A SYNC TSOT23,,RoHS Compliant,Lead free,Unaffected Jan-2017
1450-1141-ND,"ALLIANCE MEMORY, INC.",AS4C128M8D2-25BCN,,1,0,0,8 Weeks,IC SDRAM 1GBIT 400MHZ 60BGA,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
CP-43514SJCT-ND,CUI INC (VA),SJ-43514-SMT-TR,,1,0,0,10 Weeks,CONN JACK 4COND 3.5MM SMD R/A,,RoHS Compliant,Lead free,Not Available
768-1024-1-ND,FTDI (VA),FT2232HL-REEL,,1,0,0,12 Weeks,IC USB HS DUAL UART/FIFO 64-LQFP,,RoHS Compliant,Lead free,Unaffected Jan-2017
S2012EC-20-ND,SULLINS CONNECTOR SOLUTIONS (VA),PREC020DAAN-RC,,1,0,0,4 Weeks,CONN HEADER .100" DUAL STR 40POS,No delivery date available,RoHS Compliant,Lead free,Unaffected Jan-2017
365-1410-1-ND,TT ELECTRONICS/OPTEK TECHNOLOGY (VA),OVSRRGBCC3,,1,0,0,14 Weeks,LED RGB DIFFUSED 4SMD R/A,,RoHS Compliant,Lead free,Unaffected Jun-2016
PAM2305AAB120DICT-ND,DIODES INCORPORATED (VA),PAM2305AAB120,,1,0,0,16 Weeks,IC REG BUCK 1.2V 1A SYNC TSOT25,,RoHS Compliant,Lead free,Unaffected Jan-2017
PAM2305AAB330DICT-ND,DIODES INCORPORATED (VA),PAM2305AAB330,,1,0,0,16 Weeks,IC REG BUCK 3.3V 1A SYNC TSOT25,,RoHS Compliant,Lead free,Unaffected Jan-2017
MF-NSMF150-2CT-ND,BOURNS INC (VA),MF-NSMF150-2,,1,0,0,12 Weeks,PTC RESETTABLE 1.50A 6V 1206,,RoHS Compliant,Lead free,Unaffected Jan-2017
497-11605-ND,STMICROELECTRONICS,STM32F407VGT6,,1,0,0,16 Weeks,IC MCU 32BIT 1MB FLASH 100LQFP,,RoHS Compliant,Lead free,Not Available
EG1840-ND,E-SWITCH,TL1105SF250Q,,1,0,0,11 Weeks,SWITCH TACTILE SPST-NO 0.05A 12V,,RoHS Compliant,Lead free,Unaffected Jan-2017
609-4614-1-ND,AMPHENOL FCI (VA),10029449-111RLF,,1,0,0,12 Weeks,CONN HDMI RECPT 19POS SMT R/A,,RoHS Compliant,Lead free,Not Available
609-4618-1-ND,AMPHENOL FCI (VA),10118194-0001LF,,1,0,0,12 Weeks,CONN USB MICRO B RECPT SMT R/A,,RoHS Compliant,Lead free,Not Available
AE11131-ND,ASSMANN WSW COMPONENTS,AU-Y1008-2,,1,0,0,16 Weeks,CONN USB 2.0 R/A DL FMALE TYPE A,,RoHS Compliant,Lead free,Unaffected Jan-2017
101-00660-68-6-1-ND,AMPHENOL COMMERCIAL PRODUCTS (VA),101-00660-68-6,,1,0,0,,CONN MICRO SD CARD PUSH-PUSH R/A,VA discontinued-please contact Digi-Key,RoHS Compliant,Lead free,Not Available
122-1672-ND,XILINX INC,XC6SLX16-2FTG256C,,1,0,0,6 Weeks,IC FPGA 186 I/O 256FTBGA,,RoHS Compliant,Lead free,Unaffected Jan-2017
BK-885-ND,MEMORY PROTECTION DEVICES,BK-885,,1,0,0,12 Weeks,HOLDER COIN CELL 12MM SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
1276-2082-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10B474KA8NFNC,,20,0,0,12 Weeks,CAP CER 0.47UF 25V X7R 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
1276-2017-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10B225KQ8NFNC,,2,0,0,12 Weeks,CAP CER 2.2UF 6.3V X7R 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
1276-6684-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10A475MP5LNNC,,17,0,0,14 Weeks,CAP CER 4.7UF 10V X5R 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
478-10289-1-ND,AVX CORPORATION (VA),06035A150FAT2A,,2,0,0,11 Weeks,CAP CER 15PF 50V NP0 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
